,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Dadra and Nagar Haveli and Daman and Diu,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Gujarat,0.0018527523581280722,0.009418230442964418,0.0017008283193793241,0.002690601540477007,0.00600378118138803,0.014272257585704901,0.011845393918574766,0.019941849566663596,0.10892178326743562,0.016000768036865776,inf,0.01178119956173938,0.018315387306337663,0.006112824399949869,0.008097821685966476,0.007374228840019053,0.004215238508732922,0.007413722800904471,0.0061130037649990195,0.04785856835878611,0.0026993576878381774,0.0022242230344096206,0.04216118219954879,0.002494409404921218,0.002108332446076763,0.005550344398869947,0.014188422247446085,0.005430857043550042,0.047375178249108085,0.003600872131230185,0.014412461590789844,0.006173628358685333,0.002847246641316678,0.012910922382116795,0.012259514302562353,0.00399073829456597
Himachal Pradesh,0.0016251433943845531,0.004540154575373915,0.002750431324015447,0.004330682234025738,0.010341635943389871,1.3003901170351213,0.008567159678148948,0.1412988187418753,0.007377999248919683,0.0038264681392956865,0.01178119956173938,inf,0.276296521426796,0.007859627060695963,0.06306363120388485,0.002927674723627507,0.001929390110139235,0.11106668443733617,0.002213901396816809,0.005639582197192506,0.004150354045951887,0.0031804005905367826,0.016055358877409318,0.0034121156720861258,0.0031248388754954825,0.005280667476369011,0.11869436201780409,0.0025906064609725133,0.04332586684228092,0.00682777950368871,0.005189817577912137,0.0029953885992514526,0.0038816846977390313,0.03064927422518628,0.6232471174820771,0.005007691814627265
Haryana,0.0017717311475815981,0.005737630394679313,0.0026447054697042146,0.004323875576156423,0.011385475776261726,0.6664445184938367,0.011300954591634358,0.9975062344139594,0.010525230028902287,0.004913249215231269,0.018315387306337663,0.276296521426796,inf,0.009046106194049828,0.036121295309649845,0.0035997107272459587,0.002282766256149202,0.043938082454205545,0.0026698263171187663,0.0076679001762083475,0.0041905071603195836,0.0032141143331178824,0.026871896295977825,0.003511894435262788,0.0031194532222392074,0.006179274343096791,0.09973172166871105,0.003117641392051822,0.11825363038645297,0.0067621939261974205,0.0068062353283089684,0.00363964063644212,0.004041223714870649,0.04322548574639595,0.32857987776828484,0.005465624772834969
Jharkhand,0.005342159581665006,0.014864358713363699,0.00681262312027977,0.021060612442609882,0.21404109589041098,0.00777420596203855,0.05297367737970986,0.010881428339809594,0.006333178381568933,0.005013584306678945,0.006112824399949869,0.007859627060695963,0.009046106194049828,inf,0.004298514648263292,0.00572159300592471,0.003369442525734115,0.005205240011014287,0.003028047593640858,0.005474694320442619,0.022418609239157252,0.013947915693218417,0.015941844152531557,0.019111031269469343,0.011979921651312425,0.10646792653713066,0.005355770440967355,0.005944861410418369,0.009513625414318381,0.03666092312204432,0.01197482890963196,0.007786585270895304,0.028240131486052176,0.030731690826897643,0.009973172166871117,0.10124224231318299
Jammu and Kashmir,0.0012069148839662883,0.0029422954255385676,0.00202736990733245,0.0028407339661162953,0.005297595050774798,0.058962264150943446,0.004663826707123811,0.02560727656370835,0.005126530461587679,0.002836852070079325,0.008097821685966476,0.06306363120388485,0.036121295309649845,0.004298514648263292,inf,0.002131297290822762,0.001498189063968928,0.2425183101324148,0.0017649941993465644,0.00410203062822189,0.0027254810951092058,0.0021920037456960016,0.007919506139597141,0.0022981442255564197,0.0021787323046085646,0.003178710270095012,0.1339405304045005,0.0018828810339276342,0.01735770586673102,0.004069465780879618,0.003361290305232051,0.0021114682073064828,0.0025394574550725523,0.010655596212574876,0.03636879411989337,0.003065729861373828
Karnataka,0.004248698676648977,0.03970343440266065,0.0016457603047084393,0.0026185242259315093,0.004462044731998437,0.0031240842528033976,0.011161312213154284,0.003995007838205379,0.013122446863932036,0.045158959537572194,0.007374228840019053,0.002927674723627507,0.0035997107272459587,0.00572159300592471,0.002131297290822762,inf,0.052878437759434814,0.002176174372500119,0.03364907380924341,0.016923537764028353,0.0027459423895794784,0.002467545606411673,0.008916494355413246,0.0028931192077945246,0.0022510086206877166,0.008061785524257917,0.0027673280396192817,0.17525411847178457,0.00505080860920429,0.0029424114179686612,0.044395116537180895,0.12067821154890455,0.003271881937412169,0.004901807002133266,0.0032160493727899724,0.004680946674655484
Kerala,0.0036944192775386405,0.012044521658928576,0.0012610332559967697,0.001858058455262226,0.0027435790647358438,0.0020381854035352327,0.005319100837917954,0.0024731973421042806,0.006521744801517224,0.01711598992895154,0.004215238508732922,0.001929390110139235,0.002282766256149202,0.003369442525734115,0.001498189063968928,0.052878437759434814,inf,0.0015140162323736338,0.04586819316013525,0.008213471407263346,0.0019449077646941663,0.0018144997034200236,0.004512207778143766,0.0020800433980254548,0.0016703972204590255,0.0045371124455262915,0.001865843953872606,0.05204944697462578,0.002998700363262562,0.0019951716845234536,0.012091415941080942,0.02809414911250575,0.002285315204384878,0.0028818369058985147,0.002075801633074661,0.0030044095719287183
Ladakh,0.001321692965889935,0.0031416351742349917,0.002442872343176623,0.003491989550570471,0.006721274783860604,0.07934366916863701,0.005285579880968743,0.03147663174858983,0.004908560873763105,0.0027879227187822355,0.007413722800904471,0.11106668443733617,0.043938082454205545,0.005205240011014287,0.2425183101324148,0.002176174372500119,0.0015140162323736338,inf,0.0017335454037210552,0.003932151512089203,0.0033234019006535462,0.002619000851175278,0.008481958450278337,0.002737637172732585,0.0026132524827858538,0.003669110783663357,0.0808211428109591,0.0019510154645289782,0.017605354844729578,0.005210371348376375,0.003515717012906197,0.0022102138846078275,0.003038474685707773,0.0137794950090669,0.059591559451519255,0.0036587953782096787
Lakshadweep,0.0024178583599301583,0.009715618219652214,0.0011172441134301397,0.0016326781178356052,0.0025742450897562035,0.0023740444767736553,0.005055098041098962,0.0028660152214068416,0.0103260981805415,0.03864211604227448,0.0061130037649990195,0.002213901396816809,0.0026698263171187663,0.003028047593640858,0.0017649941993465644,0.03364907380924341,0.04586819316013525,0.0017335454037210552,inf,0.01479552583298811,0.0016888879280993125,0.0015392607700152015,0.0052989396821695985,0.0017421190020584876,0.0014332939273056264,0.0037198326224113236,0.0022524262572536577,0.019111213886972483,0.00367764689441108,0.001829158097060983,0.012118494640595742,0.014632675935979108,0.0019206760779794485,0.003049761432411949,0.0023449121971076915,0.0025302203189342723
Maharashtra,0.0022100477704885546,0.015234386056831757,0.001527345989005694,0.0024049827394388816,0.00486882888111391,0.006367248909131082,0.011718754577638529,0.008455765775288027,0.35587188612099585,0.08614971096771988,0.04785856835878611,0.005639582197192506,0.0076679001762083475,0.005474694320442619,0.00410203062822189,0.016923537764028353,0.008213471407263346,0.003932151512089203,0.01479552583298811,inf,0.002452610656887618,0.002089041203204174,0.02272469037609363,0.002377438300721219,0.001954578717921456,0.0058377082091604195,0.006025443035762815,0.010218669304445847,0.01380052718013828,0.003006856836329569,0.028427423366773452,0.01121214499545908,0.0027033076591193917,0.007841630431799376,0.006025548324897567,0.0038300602276970836
