date,name,cumCase
2020-09-15,West Midlands,34893
2020-09-15,Yorkshire and The Humber,40746
2020-09-16,East Midlands,29278
2020-09-16,East of England,28553
2020-09-16,London,43928
2020-09-16,North East,18963
2020-09-16,North West,63376
2020-09-16,South East,40368
2020-09-16,South West,16031
2020-09-16,West Midlands,35321
2020-09-16,Yorkshire and The Humber,41257
2020-09-17,East Midlands,29458
2020-09-17,East of England,28679
2020-09-17,London,44175
2020-09-17,North East,19227
2020-09-17,North West,64308
2020-09-17,South East,40504
2020-09-17,South West,16116
2020-09-17,West Midlands,35660
2020-09-17,Yorkshire and The Humber,41659
2020-09-18,East Midlands,29722
2020-09-18,East of England,28786
2020-09-18,London,44552
2020-09-18,North East,19559
2020-09-18,North West,65710
2020-09-18,South East,40635
2020-09-18,South West,16210
2020-09-18,West Midlands,36129
2020-09-18,Yorkshire and The Humber,42176
2020-09-19,East Midlands,29928
2020-09-19,East of England,28925
2020-09-19,London,44872
2020-09-19,North East,19929
2020-09-19,North West,67044
2020-09-19,South East,40798
2020-09-19,South West,16292
2020-09-19,West Midlands,36571
2020-09-19,Yorkshire and The Humber,42705
2020-09-20,East Midlands,30140
2020-09-20,East of England,29060
2020-09-20,London,45113
2020-09-20,North East,20347
2020-09-20,North West,68105
2020-09-20,South East,40908
2020-09-20,South West,16384
2020-09-20,West Midlands,37029
2020-09-20,Yorkshire and The Humber,43150
2020-09-21,East Midlands,30350
2020-09-21,East of England,29233
2020-09-21,London,45395
2020-09-21,North East,20756
2020-09-21,North West,69450
2020-09-21,South East,41087
2020-09-21,South West,16516
2020-09-21,West Midlands,37487
2020-09-21,Yorkshire and The Humber,43642
2020-09-22,East Midlands,30580
2020-09-22,East of England,29422
2020-09-22,London,45749
2020-09-22,North East,21293
2020-09-22,North West,70831
2020-09-22,South East,41274
2020-09-22,South West,16648
2020-09-22,West Midlands,38077
2020-09-22,Yorkshire and The Humber,44147
2020-09-23,East Midlands,30921
2020-09-23,East of England,29660
2020-09-23,London,46280
2020-09-23,North East,21960
2020-09-23,North West,72098
2020-09-23,South East,41521
2020-09-23,South West,16817
2020-09-23,West Midlands,38979
2020-09-23,Yorkshire and The Humber,44830
2020-09-24,East Midlands,31257
2020-09-24,East of England,29923
2020-09-24,London,46900
2020-09-24,North East,22483
2020-09-24,North West,73988
2020-09-24,South East,41847
2020-09-24,South West,16992
