date,name,Deaths
2020-08-17,London,6936
2020-08-17,North East,2461
2020-08-17,North West,7082
2020-08-17,South East,5800
2020-08-17,South West,2172
2020-08-17,West Midlands,5281
2020-08-17,Yorkshire and The Humber,4117
2020-08-18,East Midlands,3436
2020-08-18,East of England,4713
2020-08-18,London,6947
2020-08-18,North East,2469
2020-08-18,North West,7106
2020-08-18,South East,5811
2020-08-18,South West,2181
2020-08-18,West Midlands,5290
2020-08-18,Yorkshire and The Humber,4129
2020-08-19,East Midlands,3443
2020-08-19,East of England,4714
2020-08-19,London,6950
2020-08-19,North East,2470
2020-08-19,North West,7120
2020-08-19,South East,5824
2020-08-19,South West,2183
2020-08-19,West Midlands,5294
2020-08-19,Yorkshire and The Humber,4133
2020-08-20,East Midlands,3447
2020-08-20,East of England,4720
2020-08-20,London,6953
2020-08-20,North East,2474
2020-08-20,North West,7134
2020-08-20,South East,5833
2020-08-20,South West,2185
2020-08-20,West Midlands,5303
2020-08-20,Yorkshire and The Humber,4144
2020-08-21,East Midlands,3454
2020-08-21,East of England,4728
2020-08-21,London,6957
2020-08-21,North East,2481
2020-08-21,North West,7159
2020-08-21,South East,5849
2020-08-21,South West,2189
2020-08-21,West Midlands,5313
2020-08-21,Yorkshire and The Humber,4155
2020-08-22,East Midlands,3461
2020-08-22,East of England,4739
2020-08-22,London,6968
2020-08-22,North East,2488
2020-08-22,North West,7174
2020-08-22,South East,5857
2020-08-22,South West,2192
2020-08-22,West Midlands,5323
2020-08-22,Yorkshire and The Humber,4164
2020-08-23,East Midlands,3462
2020-08-23,East of England,4739
2020-08-23,London,6970
2020-08-23,North East,2488
2020-08-23,North West,7175
2020-08-23,South East,5858
2020-08-23,South West,2191
2020-08-23,West Midlands,5323
2020-08-23,Yorkshire and The Humber,4165
2020-08-24,East Midlands,3462
2020-08-24,East of England,4739
2020-08-24,London,6970
2020-08-24,North East,2489
2020-08-24,North West,7175
2020-08-24,South East,5859
2020-08-24,South West,2191
2020-08-24,West Midlands,5323
2020-08-24,Yorkshire and The Humber,4165
2020-08-25,East Midlands,3466
2020-08-25,East of England,4743
2020-08-25,London,6979
2020-08-25,North East,2494
2020-08-25,North West,7199
2020-08-25,South East,5870
2020-08-25,South West,2196
2020-08-25,West Midlands,5335
2020-08-25,Yorkshire and The Humber,4173
2020-08-26,East Midlands,3469
2020-08-26,East of England,4748
2020-08-26,London,6985
2020-08-26,North East,2496
2020-08-26,North West,7213
2020-08-26,South East,5884
2020-08-26,South West,2198
2020-08-26,West Midlands,5341
2020-08-26,Yorkshire and The Humber,4179
2020-08-27,East Midlands,3471
2020-08-27,East of England,4752
2020-08-27,London,6990
2020-08-27,North East,2498
2020-08-27,North West,7230
2020-08-27,South East,5892
2020-08-27,South West,2200
2020-08-27,West Midlands,5353
2020-08-27,Yorkshire and The Humber,4185
2020-08-28,East Midlands,3478
2020-08-28,East of England,4765
2020-08-28,London,7004
2020-08-28,North East,2502
2020-08-28,North West,7246
2020-08-28,South East,5904
2020-08-28,South West,2202
2020-08-28,West Midlands,5362
2020-08-28,Yorkshire and The Humber,4198
2020-08-29,East Midlands,3478
2020-08-29,East of England,4765
2020-08-29,London,7004
2020-08-29,North East,2502
2020-08-29,North West,7246
2020-08-29,South East,5904
2020-08-29,South West,2202
2020-08-29,West Midlands,5362
2020-08-29,Yorkshire and The Humber,4198
