»’∆⁄,µÿ«¯,–¬‘ˆ»∑’Ô,–¬‘ˆ÷Œ”˙,–¬‘ˆÀ¿Õˆ,¿€º∆»∑’Ô,¿€º∆÷Œ”˙,¿€º∆À¿Õˆ,«®»Î÷∏ ˝,«®≥ˆ÷∏ ˝,Œ¬∂», ™∂»,aqi,“Ω¡∆æ»÷Œ“Ω‘∫,∑¢»»√≈’Ô,»Àø⁄
20200122,æ£√≈,1.0,0,0,1.0,0,0,1.4915664,0.6214644,5.13,83.09,152.0,12.0,12.0,287.37
20200122,–¢∏–,0,0,0,0,0,0,3.0084048,0.957744,5.43,97.13,126.39,31.0,30.0,481.45
20200122,æ£÷›,6.0,0,0,6.0,0,0,3.1255956,1.3008924,6.35,90.78,109.43,38.0,38.0,569.17
20200122,ª∆∏‘,0,0,0,12.0,0,0,4.0114116,1.0685844,5.78,98.78,108.48,21.0,21.0,616.21
20200122,œÃƒ˛,0,0,0,0,0,0,1.4130936,0.6101568,5.65,99.0,84.57,46.0,46.0,246.26
20200122,ÀÊ÷›,0,0,0,0,0,0,1.2321072,0.3846852,3.78,89.61,138.61,54.0,54.0,216.22
20200122,∂˜ ©,0,0,0,0,0,0,1.3778748,0.6265836,8.57,88.48,59.13,93.0,93.0,329.03
20200122,œ…Ã“,0,0,0,0,0,0,0.9140688,0.3933036,6.0,92.74,-1.0,26.0,25.0,117.51
20200122,ÃÏ√≈,0,0,0,0,0,0,0.8867232,0.3430836,6.17,93.61,-1.0,25.0,25.0,141.89
20200123,Œ‰∫∫,70.0,3.0,6.0,495.0,31.0,23.0,1.7521272,11.1386988,6.35,88.87,109.17,70.0,63.0,978.54
20200123,ª∆ Ø,0,0,0,0,0,0,1.1527272,0.7729668,6.67,96.67,93.33,15.0,14.0,242.93
20200123, Æ—ﬂ,1.0,0,0,1.0,0,0,0.9353232,0.6169932,4.0,85.25,103.54,84.0,84.0,334.08
20200123,“À≤˝,1.0,0,1.0,1.0,0,1.0,1.2789576,0.9116064,6.74,96.35,135.39,24.0,23.0,405.97
20200123,œÂ—Ù,0,0,0,0,0,0,1.7741268,1.014282,4.04,89.46,206.87,98.0,98.0,550.03
20200123,∂ı÷›,0,0,0,0,0,0,0.8324532,0.4825656,7.0,92.17,97.92,18.0,17.0,104.87
20200123,æ£√≈,7.0,0,0,8.0,0,0,1.3284648,0.5829408,5.35,78.65,166.3,12.0,12.0,287.37
20200123,–¢∏–,22.0,0,0,22.0,0,0,2.9255904,0.8636868,6.29,93.25,110.37,31.0,30.0,481.45
20200123,æ£÷›,2.0,0,0,8.0,0,0,2.7006048,1.1929356,5.92,88.04,135.54,38.0,38.0,569.17
20200123,ª∆∏‘,0,0,0,12.0,0,0,3.4034256,0.9574524,6.13,96.71,98.37,21.0,21.0,616.21
20200123,œÃƒ˛,0,0,0,0,0,0,1.2155508,0.5420196,5.5,99.0,92.96,46.0,46.0,246.26
20200123,ÀÊ÷›,0,0,0,0,0,0,1.140642,0.32319,3.5,90.63,123.54,54.0,54.0,216.22
20200123,∂˜ ©,0,0,0,0,0,0,1.1057472,0.5950584,8.22,86.39,49.78,93.0,93.0,329.03
20200123,œ…Ã“,2.0,0,0,2.0,0,0,0.8013492,0.3276288,5.83,92.92,-1.0,26.0,25.0,117.51
20200123,ÃÏ√≈,0,0,0,0,0,0,0.7255656,0.3019032,5.61,93.7,-1.0,25.0,25.0,141.89
20200124,Œ‰∫∫,77.0,1.0,15.0,572.0,32.0,38.0,0.877068,3.8936376,6.37,92.96,43.08,70.0,63.0,978.54
20200124,ª∆ Ø,0,0,0,0,0,0,0.586764,0.631314,7.26,96.26,57.52,15.0,14.0,242.93
20200124, Æ—ﬂ,4.0,0,0,5.0,0,0,0.5434776,0.5171364,3.39,97.26,66.04,84.0,84.0,334.08
20200124,“À≤˝,0,0,0,1.0,0,1.0,0.7442604,0.71928,5.57,96.0,57.09,24.0,23.0,405.97
20200124,œÂ—Ù,0,0,0,0,0,0,0.9975312,0.806598,3.35,96.78,175.7,98.0,98.0,550.03
20200124,∂ı÷›,1.0,0,0,1.0,0,0,0.4739148,0.3403944,7.78,93.09,51.52,18.0,17.0,104.87
20200124,æ£√≈,13.0,0,0,21.0,0,0,0.8553924,0.527634,3.63,95.04,97.67,12.0,12.0,287.37
20200124,–¢∏–,4.0,0,0,26.0,0,0,1.3361112,0.7144524,6.25,96.96,51.67,31.0,30.0,481.45
20200124,æ£÷›,2.0,0,0,10.0,0,0,1.5100992,0.9798084,5.42,94.96,66.58,38.0,38.0,569.17
20200124,ª∆∏‘,52.0,0,0,64.0,0,0,1.5766812,0.8797248,6.92,98.88,58.21,21.0,21.0,616.21
20200124,œÃƒ˛,0,0,0,0,0,0,0.592272,0.4322808,6.09,99.0,50.17,46.0,46.0,246.26
20200124,ÀÊ÷›,5.0,0,0,5.0,0,0,0.6011496,0.2958444,4.43,92.04,70.43,54.0,54.0,216.22
20200124,∂˜ ©,11.0,0,0,11.0,0,0,0.7339248,0.4901472,6.96,82.57,37.83,93.0,93.0,329.03
20200124,œ…Ã“,8.0,0,0,10.0,0,0,0.3875364,0.2696004,6.0,94.61,-1.0,26.0,25.0,117.51
20200124,ÃÏ√≈,3.0,0,0,3.0,0,0,0.4073328,0.2301696,5.65,96.39,-1.0,25.0,25.0,141.89
20200125,Œ‰∫∫,46.0,8.0,7.0,618.0,40.0,45.0,0.627912,1.2966804,4.54,91.33,62.46,70.0,63.0,978.54
20200125,ª∆ Ø,31.0,0,1.0,31.0,0,1.0,0.2513916,0.3746736,5.54,95.25,70.92,15.0,14.0,242.93
20200125, Æ—ﬂ,15.0,0,0,20.0,0,0,0.2594592,0.32805,2.58,93.21,72.71,84.0,84.0,334.08
20200125,“À≤˝,19.0,0,0,20.0,0,1.0,0.3943728,0.484056,4.79,77.62,44.21,24.0,23.0,405.97
20200125,œÂ—Ù,2.0,0,0,2.0,0,0,0.4901472,0.5932764,2.92,86.83,158.71,98.0,98.0,550.03
20200125,∂ı÷›,0,0,0,1.0,0,0,0.1947888,0.1958904,5.83,91.12,74.21,18.0,17.0,104.87
20200125,æ£√≈,17.0,0,1.0,38.0,0,1.0,0.3295404,0.4446576,2.29,89.29,156.83,12.0,12.0,287.37
20200125,–¢∏–,29.0,0,0,55.0,0,0,0.4678236,0.739368,4.46,96.08,87.42,31.0,30.0,481.45
20200125,æ£÷›,23.0,0,2.0,33.0,0,2.0,0.5915268,0.8882136,4.08,90.54,118.83,38.0,38.0,569.17
20200125,ª∆∏‘,58.0,2.0,2.0,122.0,2.0,2.0,0.5521284,0.7816176,5.0,98.58,81.54,21.0,21.0,616.21
20200125,œÃƒ˛,43.0,0,0,43.0,0,0,0.2201256,0.3806352,4.37,99.0,55.92,46.0,46.0,246.26
20200125,ÀÊ÷›,31.0,0,0,36.0,0,0,0.2153304,0.3925584,3.33,82.88,114.38,54.0,54.0,216.22
20200125,∂˜ ©,6.0,0,0,17.0,0,0,0.4434264,0.428166,6.58,67.08,28.67,93.0,93.0,329.03
20200125,œ…Ã“,1.0,0,0,11.0,0,0,0.1527336,0.2142936,4.21,92.79,-1.0,26.0,25.0,117.51
20200125,ÃÏ√≈,2.0,0,0,5.0,0,0,0.1452168,0.1763532,3.92,93.87,-1.0,25.0,25.0,141.89
20200126,Œ‰∫∫,80.0,2.0,18.0,698.0,42.0,63.0,0.5069304,0.6610572,2.83,87.61,40.52,70.0,63.0,978.54
20200126,ª∆ Ø,5.0,0,0,36.0,0,1.0,0.1495908,0.3501144,3.67,93.21,21.33,15.0,14.0,242.93
20200126, Æ—ﬂ,20.0,0,0,40.0,0,0,0.1379592,0.175446,1.75,86.83,65.83,84.0,84.0,334.08
20200126,“À≤˝,11.0,0,0,31.0,0,1.0,0.2007828,0.2488968,3.74,70.0,64.22,24.0,23.0,405.97
20200126,œÂ—Ù,34.0,0,0,36.0,0,0,0.2797092,0.705672,2.0,86.33,110.96,98.0,98.0,550.03
20200126,∂ı÷›,19.0,0,0,20.0,0,0,0.109188,0.132516,3.78,88.39,31.09,18.0,17.0,104.87
20200126,æ£√≈,52.0,0,2.0,90.0,0,3.0,0.1803384,0.6089904,2.13,81.91,104.13,12.0,12.0,287.37
20200126,–¢∏–,45.0,0,1.0,100.0,0,1.0,0.2332476,0.7117632,2.83,92.0,63.13,31.0,30.0,481.45
20200126,æ£÷›,14.0,0,0,47.0,0,2.0,0.3269484,1.1044188,3.64,79.14,80.86,38.0,38.0,569.17
20200126,ª∆∏‘,32.0,0,2.0,154.0,2.0,4.0,0.286902,0.8425296,3.08,93.25,38.96,21.0,21.0,616.21
20200126,œÃƒ˛,21.0,0,0,64.0,0,0,0.11178,0.4456296,2.3,98.78,31.43,46.0,46.0,246.26
20200126,ÀÊ÷›,16.0,0,0,52.0,0,0,0.103518,0.3945348,1.96,84.78,89.83,54.0,54.0,216.22
20200126,∂˜ ©,8.0,0,0,25.0,0,0,0.264708,0.4239216,5.96,73.21,30.25,93.0,93.0,329.03
20200126,œ…Ã“,1.0,0,0,12.0,0,0,0.0713124,0.1387368,2.96,85.87,-1.0,26.0,25.0,117.51
20200126,ÃÏ√≈,8.0,0,0,13.0,0,0,0.0765288,0.0880308,3.08,86.0,-1.0,25.0,25.0,141.89
20200127,Œ‰∫∫,892.0,0,22.0,1590.0,42.0,85.0,0.4216212,0.4302396,3.25,82.33,62.71,70.0,63.0,978.54
20200127,ª∆ Ø,17.0,0,0,53.0,0,1.0,0.1036152,0.1463508,3.29,85.62,44.54,15.0,14.0,242.93
20200127, Æ—ﬂ,25.0,0,0,65.0,0,0,0.1126548,0.1117152,2.04,84.12,75.17,84.0,84.0,334.08
20200127,“À≤˝,20.0,0,0,51.0,0,1.0,0.1541592,0.1340388,3.57,70.04,91.78,24.0,23.0,405.97
20200127,œÂ—Ù,34.0,0,0,70.0,0,0,0.2079756,0.5880924,1.92,78.08,111.46,98.0,98.0,550.03
20200127,∂ı÷›,37.0,0,0,57.0,0,0,0.0713124,0.0819396,3.58,82.54,50.87,18.0,17.0,104.87
20200127,æ£√≈,24.0,0,0,114.0,0,3.0,0.1042632,0.2004588,2.35,74.0,104.57,12.0,12.0,287.37
20200127,–¢∏–,73.0,0,0,173.0,0,1.0,0.1619352,0.2372328,2.91,87.48,75.83,31.0,30.0,481.45
20200127,æ£÷›,24.0,1.0,0,71.0,1.0,2.0,0.21708,0.3963816,3.67,75.12,85.42,38.0,38.0,569.17
20200127,ª∆∏‘,59.0,2.0,0,213.0,4.0,4.0,0.1956636,0.2473416,3.22,83.35,55.7,21.0,21.0,616.21
20200127,œÃƒ˛,27.0,0,0,91.0,0,0,0.082944,0.226962,2.5,92.21,57.25,46.0,46.0,246.26
20200127,ÀÊ÷›,18.0,0,0,70.0,0,0,0.0682992,0.2175012,2.67,78.33,99.67,54.0,54.0,216.22
20200127,∂˜ ©,13.0,0,0,38.0,0,0,0.1839996,0.20007,5.62,72.67,22.0,93.0,93.0,329.03
20200127,œ…Ã“,15.0,0,0,27.0,0,0,0.0563436,0.0674244,3.33,82.29,-1.0,26.0,25.0,117.51
20200127,ÃÏ√≈,10.0,0,2.0,23.0,0,2.0,0.0613656,0.0634716,3.79,75.29,-1.0,25.0,25.0,141.89
20200128,Œ‰∫∫,315.0,0,19.0,1905.0,42.0,104.0,0.4126464,0.3196908,3.17,81.58,78.08,70.0,63.0,978.54
20200128,ª∆ Ø,33.0,0,0,86.0,0,1.0,0.0893268,0.0883872,3.96,78.88,78.04,15.0,14.0,242.93
20200128, Æ—ﬂ,23.0,0,0,88.0,0,0,0.0920808,0.080028,4.08,73.08,48.04,84.0,84.0,334.08
20200128,“À≤˝,12.0,0,0,63.0,0,1.0,0.138024,0.1114236,4.42,70.92,82.79,24.0,23.0,405.97
20200128,œÂ—Ù,61.0,0,0,131.0,0,0,0.1709748,0.3538728,4.08,71.38,92.79,98.0,98.0,550.03
20200128,∂ı÷›,27.0,0,1.0,84.0,0,1.0,0.0651888,0.070632,4.37,75.5,81.62,18.0,17.0,104.87
20200128,æ£√≈,28.0,0,1.0,142.0,0,4.0,0.0847908,0.0919836,3.88,67.58,85.0,12.0,12.0,287.37
20200128,–¢∏–,101.0,0,2.0,274.0,0,3.0,0.1245132,0.15228,3.04,81.04,75.71,31.0,30.0,481.45
20200128,æ£÷›,30.0,0,0,101.0,1.0,2.0,0.1763208,0.1864296,3.33,82.5,73.67,38.0,38.0,569.17
20200128,ª∆∏‘,111.0,0,1.0,324.0,4.0,5.0,0.1571076,0.1750572,3.96,74.29,83.71,21.0,21.0,616.21
20200128,œÃƒ˛,21.0,0,0,112.0,0,0,0.0700488,0.099792,3.12,84.17,57.54,46.0,46.0,246.26
20200128,ÀÊ÷›,46.0,0,0,116.0,0,0,0.0491184,0.090234,2.21,76.0,78.5,54.0,54.0,216.22
20200128,∂˜ ©,13.0,0,0,51.0,0,0,0.1621296,0.1540296,5.79,71.75,36.21,93.0,93.0,329.03
20200128,œ…Ã“,5.0,0,0,32.0,0,0,0.0486324,0.0459756,3.29,81.21,-1.0,26.0,25.0,117.51
20200128,ÃÏ√≈,11.0,0,1.0,34.0,0,3.0,0.0515484,0.0532656,2.92,84.79,-1.0,25.0,25.0,141.89
20200129,Œ‰∫∫,356.0,7.0,25.0,2261.0,49.0,129.0,0.373086,0.2616624,4.25,79.17,73.46,70.0,63.0,978.54
20200129,ª∆ Ø,27.0,0,0,113.0,0,1.0,0.087804,0.0791532,4.12,78.04,71.0,15.0,14.0,242.93
20200129, Æ—ﬂ,31.0,0,0,119.0,0,0,0.0782784,0.0759456,5.25,65.12,39.67,84.0,84.0,334.08
20200129,“À≤˝,54.0,0,0,117.0,0,1.0,0.1333908,0.1053,7.21,63.67,74.29,24.0,23.0,405.97
20200129,œÂ—Ù,32.0,0,0,163.0,0,0,0.136728,0.1901232,6.25,64.25,82.25,98.0,98.0,550.03
20200129,∂ı÷›,39.0,0,1.0,123.0,0,2.0,0.0578016,0.0660636,4.71,77.71,78.25,18.0,17.0,104.87
20200129,æ£√≈,49.0,0,0,191.0,0,4.0,0.0799632,0.0804168,7.22,60.3,91.48,12.0,12.0,287.37
20200129,–¢∏–,125.0,0,3.0,399.0,0,6.0,0.111294,0.12231,4.5,83.79,76.17,31.0,30.0,481.45
20200129,æ£÷›,50.0,0,1.0,151.0,1.0,3.0,0.1542564,0.158112,5.54,79.38,73.96,38.0,38.0,569.17
20200129,ª∆∏‘,172.0,3.0,7.0,496.0,7.0,12.0,0.1465776,0.1524744,4.08,79.42,87.92,21.0,21.0,616.21
20200129,œÃƒ˛,18.0,0,0,130.0,0,0,0.0634392,0.0792504,4.48,77.83,61.52,46.0,46.0,246.26
20200129,ÀÊ÷›,27.0,0,0,143.0,0,0,0.0403704,0.0480816,3.38,72.5,76.71,54.0,54.0,216.22
20200129,∂˜ ©,15.0,0,0,66.0,0,0,0.1494288,0.1358532,4.35,82.39,46.3,93.0,93.0,329.03
20200129,œ…Ã“,23.0,0,0,55.0,0,0,0.044226,0.045036,4.87,80.26,-1.0,26.0,25.0,117.51
20200129,ÃÏ√≈,10.0,0,0,44.0,0,3.0,0.0485028,0.0518076,4.83,81.92,-1.0,25.0,25.0,141.89
20200130,Œ‰∫∫,378.0,21.0,30.0,2639.0,70.0,159.0,0.3538728,0.2436804,4.52,76.65,75.04,70.0,63.0,978.54
20200130,ª∆ Ø,55.0,0,0,168.0,0,1.0,0.081,0.078246,5.75,72.33,74.5,15.0,14.0,242.93
20200130, Æ—ﬂ,31.0,0,0,150.0,0,0,0.0761076,0.0749736,5.96,58.78,41.48,84.0,84.0,334.08
20200130,“À≤˝,50.0,0,0,167.0,0,1.0,0.1257768,0.1019628,8.0,56.83,70.3,24.0,23.0,405.97
20200130,œÂ—Ù,123.0,0,0,286.0,0,0,0.1168344,0.1105812,7.0,55.61,73.04,98.0,98.0,550.03
20200130,∂ı÷›,66.0,0,4.0,189.0,0,6.0,0.0544644,0.06399,6.35,72.26,81.04,18.0,17.0,104.87
20200130,æ£√≈,36.0,0,1.0,227.0,0,5.0,0.0732888,0.0732564,8.7,50.61,89.57,12.0,12.0,287.37
20200130,–¢∏–,142.0,2.0,3.0,541.0,2.0,9.0,0.1005696,0.1097712,5.09,74.09,78.48,31.0,30.0,481.45
20200130,æ£÷›,70.0,0,0,221.0,1.0,3.0,0.1488132,0.1418796,6.57,73.48,79.0,38.0,38.0,569.17
20200130,ª∆∏‘,77.0,1.0,0,573.0,8.0,12.0,0.1383804,0.1424304,5.43,74.7,81.52,21.0,21.0,616.21
20200130,œÃƒ˛,36.0,0,0,166.0,0,0,0.0587736,0.080028,5.3,70.48,62.43,46.0,46.0,246.26
20200130,ÀÊ÷›,85.0,0,0,228.0,0,0,0.0345708,0.0391392,4.3,66.35,72.91,54.0,54.0,216.22
20200130,∂˜ ©,9.0,0,0,75.0,0,0,0.1576908,0.1301832,4.43,84.26,64.57,93.0,93.0,329.03
20200130,œ…Ã“,35.0,0,1.0,90.0,0,1.0,0.0445824,0.0408564,5.74,73.74,-1.0,26.0,25.0,117.51
20200130,ÃÏ√≈,23.0,0,3.0,67.0,0,6.0,0.0459108,0.0525528,6.87,66.74,-1.0,25.0,25.0,141.89
20200131,Œ‰∫∫,576.0,36.0,33.0,3215.0,106.0,192.0,0.32886,0.2375892,4.67,72.42,96.0,70.0,63.0,978.54
20200131,ª∆ Ø,41.0,0,1.0,209.0,0,2.0,0.0744228,0.0704052,6.0,67.43,94.48,15.0,14.0,242.93
20200131, Æ—ﬂ,27.0,0,0,177.0,0,0,0.0757836,0.0763992,6.13,60.91,51.0,84.0,84.0,334.08
20200131,“À≤˝,109.0,0,0,276.0,0,1.0,0.118098,0.0964548,8.57,55.65,95.83,24.0,23.0,405.97
20200131,œÂ—Ù,61.0,0,0,347.0,0,0,0.1029348,0.0935388,7.18,56.68,95.27,98.0,98.0,550.03
20200131,∂ı÷›,38.0,0,3.0,227.0,0,9.0,0.0535572,0.05427,7.04,63.17,103.75,18.0,17.0,104.87
20200131,æ£√≈,24.0,1.0,0,251.0,1.0,5.0,0.0695952,0.0691416,8.91,50.39,115.52,12.0,12.0,287.37
20200131,–¢∏–,87.0,0,3.0,628.0,2.0,12.0,0.0957744,0.0997596,4.92,74.63,95.58,31.0,30.0,481.45
20200131,æ£÷›,66.0,1.0,1.0,287.0,2.0,4.0,0.1363068,0.1370844,7.41,71.0,73.64,38.0,38.0,569.17
20200131,ª∆∏‘,153.0,11.0,2.0,726.0,19.0,14.0,0.12069,0.1354644,5.75,63.42,108.29,21.0,21.0,616.21
20200131,œÃƒ˛,40.0,1.0,0,206.0,1.0,0,0.0554688,0.0728352,7.04,58.78,63.13,46.0,46.0,246.26
20200131,ÀÊ÷›,76.0,0,1.0,304.0,0,1.0,0.032238,0.0378108,5.43,65.09,92.09,54.0,54.0,216.22
20200131,∂˜ ©,12.0,0,0,87.0,0,0,0.1319328,0.1227312,5.71,78.58,79.58,93.0,93.0,329.03
20200131,œ…Ã“,7.0,0,0,97.0,0,1.0,0.0448416,0.0387504,6.04,71.87,-1.0,26.0,25.0,117.51
20200131,ÃÏ√≈,15.0,0,1.0,82.0,0,7.0,0.0433188,0.048276,6.04,67.96,-1.0,25.0,25.0,141.89
20200201,Œ‰∫∫,894.0,32.0,32.0,4109.0,138.0,224.0,0.360774,0.2353212,7.75,66.54,89.12,70.0,63.0,978.54
20200201,ª∆ Ø,43.0,1.0,0,252.0,1.0,2.0,0.066582,0.0668412,8.74,59.61,73.74,15.0,14.0,242.93
20200201, Æ—ﬂ,35.0,0,0,212.0,0,0,0.0708588,0.0786024,6.26,68.96,92.7,84.0,84.0,334.08
20200201,“À≤˝,77.0,0,0,353.0,0,1.0,0.1032264,0.1011852,7.7,73.7,139.48,24.0,23.0,405.97
20200201,œÂ—Ù,94.0,0,0,441.0,0,0,0.0926316,0.0911412,8.42,56.83,126.96,98.0,98.0,550.03
20200201,∂ı÷›,51.0,0,4.0,278.0,0,13.0,0.0499284,0.0527148,9.7,48.13,80.83,18.0,17.0,104.87
20200201,æ£√≈,78.0,2.0,2.0,329.0,3.0,7.0,0.0661608,0.0705348,8.39,55.13,123.17,12.0,12.0,287.37
20200201,–¢∏–,121.0,0,2.0,749.0,2.0,14.0,0.0958068,0.1068228,8.61,57.43,99.83,31.0,30.0,481.45
20200201,æ£÷›,46.0,0,0,333.0,2.0,4.0,0.1310904,0.1307664,8.25,78.67,106.21,38.0,38.0,569.17
20200201,ª∆∏‘,276.0,10.0,1.0,1002.0,29.0,15.0,0.1150848,0.1293408,8.22,60.09,88.26,21.0,21.0,616.21
20200201,œÃƒ˛,40.0,0,0,246.0,1.0,0,0.0499284,0.0718632,9.54,54.5,74.08,46.0,46.0,246.26
20200201,ÀÊ÷›,80.0,3.0,2.0,384.0,3.0,3.0,0.0344736,0.0340524,7.08,60.08,109.08,54.0,54.0,216.22
20200201,∂˜ ©,18.0,1.0,0,105.0,1.0,0,0.1189404,0.1223424,5.79,88.38,85.13,93.0,93.0,329.03
20200201,œ…Ã“,43.0,0,2.0,140.0,0,3.0,0.042768,0.0379404,8.65,69.3,-1.0,26.0,25.0,117.51
20200201,ÃÏ√≈,17.0,0,0,99.0,0,7.0,0.0474984,0.0485028,7.92,67.2,-1.0,25.0,25.0,141.89
20200202,Œ‰∫∫,1033.0,53.0,41.0,5142.0,191.0,265.0,0.3894804,0.4614732,8.88,75.62,87.83,70.0,63.0,978.54
20200202,ª∆ Ø,82.0,8.0,0,334.0,9.0,2.0,0.0877068,0.077112,8.92,69.92,66.33,15.0,14.0,242.93
20200202, Æ—ﬂ,44.0,2.0,0,256.0,2.0,0,0.0976212,0.115344,8.38,62.96,90.0,84.0,84.0,334.08
20200202,“À≤˝,39.0,1.0,0,392.0,1.0,1.0,0.1329048,0.1279152,8.04,88.25,108.75,24.0,23.0,405.97
20200202,œÂ—Ù,107.0,0,0,548.0,0,0,0.125712,0.1086696,8.79,69.33,142.17,98.0,98.0,550.03
20200202,∂ı÷›,28.0,2.0,2.0,306.0,2.0,15.0,0.066744,0.0626292,9.58,66.88,82.46,18.0,17.0,104.87
20200202,æ£√≈,16.0,3.0,4.0,345.0,6.0,11.0,0.0919512,0.0927288,9.26,64.74,84.96,12.0,12.0,287.37
20200202,–¢∏–,169.0,0,0,918.0,2.0,14.0,0.1393848,0.1270404,9.62,67.71,131.71,31.0,30.0,481.45
20200202,æ£÷›,166.0,2.0,2.0,499.0,4.0,6.0,0.1822824,0.1542564,8.33,89.96,125.29,38.0,38.0,569.17
20200202,ª∆∏‘,244.0,5.0,2.0,1246.0,34.0,17.0,0.1757052,0.154224,8.83,72.25,96.46,21.0,21.0,616.21
20200202,œÃƒ˛,50.0,0,0,296.0,1.0,0,0.0718632,0.0827496,7.96,85.5,93.88,46.0,46.0,246.26
20200202,ÀÊ÷›,74.0,0,2.0,458.0,3.0,5.0,0.0493128,0.0439344,9.08,60.58,98.83,54.0,54.0,216.22
