日期,地区,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡,迁入指数,迁出指数,温度,湿度,aqi,医疗救治医院,发热门诊,人口
20200123,海口,2.0,0,0,3.0,0,0,1.2540096,4.1812848,22.54,83.79,20.46,27.0,27.0,204.62
20200123,重庆,18.0,0,0,27.0,0,0,7.9235172,8.8136424,11.12,77.0,89.21,141.0,129.0,2884.62
20200123,成都,3.0,0,0,7.0,0,0,6.3995184,22.6441008,8.25,94.42,154.67,313.0,309.0,1404.76
20200123,贵阳,0,0,0,1.0,0,0,2.1693744,5.6424924,6.46,93.42,26.71,35.0,29.0,432.46
20200123,昆明,1.0,0,0,2.0,0,0,2.8408968,7.7217948,11.25,41.42,28.58,49.0,48.0,643.2
20200123,拉萨,0,0,0,0,0,0,0.2766636,0.4466988,-2.25,19.25,40.33,2.0,0,55.94
20200123,西安,0,0,0,2.0,0,0,4.2617988,12.4744212,3.46,81.46,269.46,86.0,82.0,846.78
20200123,兰州,0,0,0,1.0,0,0,1.2926304,3.0306636,-0.71,58.92,63.88,12.0,0,361.62
20200123,西宁,0,0,0,0,0,0,0.7576416,1.2285432,-4.46,52.92,79.21,12.0,11.0,220.87
20200123,银川,0,0,0,1.0,0,0,1.0014192,2.299752,-3.83,53.0,109.92,23.0,23.0,199.31
20200123,乌鲁木齐,2.0,0,0,2.0,0,0,1.2667428,2.8004292,-8.88,70.38,195.71,41.0,41.0,311.03
20200124,北京,15.0,1.0,0,41.0,1.0,0,3.7162152,18.6437052,0.04,48.21,103.17,106.0,101.0,1961.2
20200124,天津,3.0,0,0,8.0,0,0,1.8603108,5.1361128,1.0,60.09,78.61,47.0,47.0,1293.82
20200124,石家庄,3.0,0,0,4.0,0,0,1.9294524,3.3202872,0.0,68.7,165.61,55.0,55.0,1016.38
20200124,太原,1.0,0,0,2.0,0,0,1.1362356,4.228524,-0.74,62.0,128.39,34.0,34.0,420.16
