,Confirmed,Deaths,Recovered
6/9/2020,235561.0,34043.0,168646.0
6/10/2020,235763.0,34114.0,169939.0
6/11/2020,236142.0,34167.0,171338.0
6/12/2020,236305.0,34223.0,173085.0
6/13/2020,236651.0,34301.0,174865.0
6/14/2020,236989.0,34345.0,176370.0
6/15/2020,237290.0,34371.0,177010.0
6/16/2020,237500.0,34405.0,178526.0
6/17/2020,237828.0,34448.0,179455.0
6/18/2020,238159.0,34514.0,180544.0
6/19/2020,238011.0,34561.0,181907.0
6/20/2020,238275.0,34610.0,182453.0
6/21/2020,238499.0,34634.0,182893.0
6/22/2020,238720.0,34657.0,183426.0
6/23/2020,238833.0,34675.0,184585.0
6/24/2020,239410.0,34644.0,186111.0
6/25/2020,239706.0,34678.0,186725.0
6/26/2020,239961.0,34708.0,187615.0
6/27/2020,240136.0,34716.0,188584.0
6/28/2020,240310.0,34738.0,188891.0
6/29/2020,240436.0,34744.0,189196.0
6/30/2020,240578.0,34767.0,190248.0
7/1/2020,240760.0,34788.0,190717.0
7/2/2020,240961.0,34818.0,191083.0
7/3/2020,241184.0,34833.0,191467.0
7/4/2020,241419.0,34854.0,191944.0
7/5/2020,241611.0,34861.0,192108.0
7/6/2020,241819.0,34869.0,192241.0
7/7/2020,241956.0,34899.0,192815.0
7/8/2020,242149.0,34914.0,193640.0
7/9/2020,242363.0,34926.0,193978.0
7/10/2020,242639.0,34938.0,194273.0
7/11/2020,242827.0,34945.0,194579.0
7/12/2020,243061.0,34954.0,194928.0
7/13/2020,243230.0,34967.0,195106.0
7/14/2020,243344.0,34984.0,195441.0
7/15/2020,243506.0,34997.0,196016.0
7/16/2020,243736.0,35017.0,196246.0
7/17/2020,243967.0,35028.0,196483.0
7/18/2020,244216.0,35042.0,196806.0
7/19/2020,244434.0,35045.0,196949.0
7/20/2020,244624.0,35058.0,197162.0
7/21/2020,244752.0,35073.0,197431.0
7/22/2020,245032.0,35082.0,197628.0
7/23/2020,245338.0,35092.0,197842.0
7/24/2020,245590.0,35097.0,198192.0
7/25/2020,245864.0,35102.0,198320.0
7/26/2020,246118.0,35107.0,198446.0
7/27/2020,246286.0,35112.0,198593.0
7/28/2020,246488.0,35123.0,198756.0
7/29/2020,246776.0,35129.0,199031.0
7/30/2020,247158.0,35132.0,199796.0
7/31/2020,247537.0,35141.0,199974.0
8/1/2020,247832.0,35146.0,200229.0
8/2/2020,248070.0,35154.0,200460.0
8/3/2020,248229.0,35166.0,200589.0
8/4/2020,248419.0,35171.0,200766.0
8/5/2020,248803.0,35181.0,200976.0
8/6/2020,249204.0,35187.0,201323.0
8/7/2020,249756.0,35190.0,201642.0
8/8/2020,250103.0,35203.0,201947.0
8/9/2020,250566.0,35205.0,202098.0
8/10/2020,250825.0,35209.0,202248.0
8/11/2020,251237.0,35215.0,202461.0
8/12/2020,251713.0,35225.0,202697.0
8/13/2020,252235.0,35231.0,202923.0
8/14/2020,252809.0,35234.0,203326.0
8/15/2020,253438.0,35392.0,203640.0
8/16/2020,253915.0,35396.0,203786.0
8/17/2020,254235.0,35400.0,203968.0
8/18/2020,254636.0,35405.0,204142.0
8/19/2020,255278.0,35412.0,204506.0
8/20/2020,256118.0,35418.0,204686.0
8/21/2020,257065.0,35427.0,204960.0
8/22/2020,258136.0,35430.0,205203.0
8/23/2020,259345.0,35437.0,205470.0
8/24/2020,260298.0,35441.0,205662.0
8/25/2020,261174.0,35445.0,206015.0
8/26/2020,262540.0,35458.0,206329.0
8/27/2020,263949.0,35463.0,206554.0
8/28/2020,265409.0,35472.0,206902.0
8/29/2020,266853.0,35473.0,208224.0
8/30/2020,268218.0,35477.0,208536.0
8/31/2020,269214.0,35483.0,207653.0
9/1/2020,270189.0,35491.0,207944.0
9/2/2020,271515.0,35497.0,208201.0
9/3/2020,272912.0,35507.0,208490.0
9/4/2020,274644.0,35518.0,209027.0
9/5/2020,276338.0,35534.0,209610.0
9/6/2020,277634.0,35541.0,210015.0
9/7/2020,278784.0,35553.0,210238.0
9/8/2020,280153.0,35563.0,210801.0
9/9/2020,281583.0,35577.0,211272.0
9/10/2020,283180.0,35587.0,211885.0
9/11/2020,284796.0,35597.0,212432.0
9/12/2020,286297.0,35603.0,213191.0
9/13/2020,287753.0,35610.0,213634.0
9/14/2020,288761.0,35624.0,213950.0
9/15/2020,289990.0,35633.0,214645.0
9/16/2020,291442.0,35645.0,215265.0
9/17/2020,293025.0,35658.0,215954.0
9/18/2020,294932.0,35668.0,216807.0
9/19/2020,296569.0,35692.0,217716.0
9/20/2020,298156.0,35707.0,218351.0
9/21/2020,299506.0,35724.0,218703.0
9/22/2020,300897.0,35738.0,219670.0
9/23/2020,302537.0,35758.0,220665.0
9/24/2020,304323.0,35781.0,221762.0
9/25/2020,306235.0,35801.0,222716.0
9/26/2020,308104.0,35818.0,223693.0
9/27/2020,309870.0,35835.0,224417.0
9/28/2020,311364.0,35851.0,225190.0
9/29/2020,313011.0,35875.0,226506.0
9/30/2020,314861.0,35894.0,227704.0
10/1/2020,317409.0,35918.0,228844.0
10/2/2020,319908.0,35941.0,229970.0
10/3/2020,322751.0,35968.0,231217.0
10/4/2020,325329.0,35986.0,231914.0
10/5/2020,327586.0,36002.0,232681.0
10/6/2020,330263.0,36030.0,234099.0
10/7/2020,333940.0,36061.0,235303.0
10/8/2020,338398.0,36083.0,236363.0
10/9/2020,343770.0,36111.0,237549.0
10/10/2020,349494.0,36140.0,238525.0
10/11/2020,354950.0,36166.0,239709.0
10/12/2020,359569.0,36205.0,240600.0
10/13/2020,365467.0,36246.0,242028.0
10/14/2020,372799.0,36289.0,244065.0
10/15/2020,381602.0,36372.0,245964.0
10/16/2020,391611.0,36427.0,247872.0
10/17/2020,402536.0,36474.0,249127.0
10/18/2020,414241.0,36543.0,251461.0
10/19/2020,423578.0,36616.0,252959.0
10/20/2020,434449.0,36705.0,255005.0
10/21/2020,449648.0,36832.0,257374.0
10/22/2020,465726.0,36968.0,259456.0
10/23/2020,484869.0,37059.0,261808.0
10/24/2020,504509.0,37210.0,264117.0
10/25/2020,525782.0,37338.0,266203.0
10/26/2020,542789.0,37479.0,268626.0
10/27/2020,564778.0,37700.0,271988.0
10/28/2020,589766.0,37905.0,275404.0
10/29/2020,616595.0,38122.0,279282.0
10/30/2020,647674.0,38321.0,283567.0
10/31/2020,679430.0,38618.0,289426.0
11/1/2020,709335.0,38826.0,292380.0
11/2/2020,731588.0,39059.0,296017.0
11/3/2020,759829.0,39412.0,302275.0
11/4/2020,790377.0,39764.0,307378.0
11/5/2020,824879.0,40192.0,312339.0
11/6/2020,862681.0,40638.0,322925.0
11/7/2020,902490.0,41063.0,328891.0
11/8/2020,935104.0,41394.0,335074.0
11/9/2020,960373.0,41750.0,345289.0
11/10/2020,995463.0,42330.0,363023.0
11/11/2020,1028424.0,42953.0,372113.0
11/12/2020,1066401.0,43589.0,387758.0
11/13/2020,1107303.0,44139.0,399238.0
11/14/2020,1144552.0,44683.0,411434.0
11/15/2020,1178529.0,45229.0,420810.0
11/16/2020,1205881.0,45733.0,442364.0
11/17/2020,1238072.0,46464.0,457798.0
11/18/2020,1272352.0,47217.0,481967.0
11/19/2020,1308528.0,47870.0,498987.0
11/20/2020,1345767.0,48569.0,520022.0
11/21/2020,1380531.0,49261.0,539524.0
11/22/2020,1408868.0,49823.0,553098.0
11/23/2020,1431795.0,50453.0,584493.0
11/24/2020,1455022.0,51306.0,605330.0
11/25/2020,1480874.0,52028.0,637149.0
11/26/2020,1509875.0,52850.0,661180.0
11/27/2020,1538217.0,53677.0,696647.0
11/28/2020,1564532.0,54363.0,720861.0
11/29/2020,1585178.0,54904.0,734503.0
11/30/2020,1601554.0,55576.0,757507.0
12/1/2020,1620901.0,56361.0,784595.0
12/2/2020,1641610.0,57045.0,823335.0
12/3/2020,1664829.0,58038.0,846809.0
12/4/2020,1688939.0,58852.0,872385.0
12/5/2020,1709991.0,59514.0,896308.0
12/6/2020,1728878.0,60078.0,913494.0
12/7/2020,1742557.0,60606.0,933132.0
12/8/2020,1757394.0,61240.0,958629.0
12/9/2020,1770149.0,61739.0,997895.0
12/10/2020,1787147.0,62626.0,1027994.0
12/11/2020,1805873.0,63387.0,1052163.0
12/12/2020,1825775.0,64036.0,1076891.0
12/13/2020,1843712.0,64520.0,1093161.0
12/14/2020,1855737.0,65011.0,1115617.0
12/15/2020,1870576.0,65857.0,1141406.0
12/16/2020,1888144.0,66537.0,1175901.0
12/17/2020,1906377.0,67220.0,1203814.0
12/18/2020,1921778.0,67894.0,1226086.0
12/19/2020,1938083.0,68447.0,1249470.0
12/20/2020,1953185.0,68799.0,1261626.0
12/21/2020,1964054.0,69214.0,1281258.0
12/22/2020,1977370.0,69842.0,1301573.0
12/23/2020,1991278.0,70395.0,1322067.0
12/24/2020,2009317.0,70900.0,1344785.0
12/25/2020,2028354.0,71359.0,1377109.0
12/26/2020,2038759.0,71620.0,1386198.0
12/27/2020,2047696.0,71925.0,1394011.0
12/28/2020,2056277.0,72370.0,1408686.0
12/29/2020,2067487.0,73029.0,1425730.0
12/30/2020,2083689.0,73604.0,1445690.0
12/31/2020,2107166.0,74159.0,1463111.0
1/1/2021,2129376.0,74621.0,1479988.0
1/2/2021,2141201.0,74985.0,1489154.0
1/3/2021,2155446.0,75332.0,1503900.0
1/4/2021,2166244.0,75680.0,1520106.0
1/5/2021,2181619.0,76329.0,1536129.0
1/6/2021,2201945.0,76877.0,1556356.0
1/7/2021,2220361.0,77291.0,1572015.0
1/8/2021,2237890.0,77911.0,1589590.0
1/9/2021,2257866.0,78394.0,1606630.0
1/10/2021,2276491.0,78755.0,1617804.0
1/11/2021,2289021.0,79203.0,1633839.0
1/12/2021,2303263.0,79819.0,1653404.0
